is_approved,is_issued,is_delay,approved_sum,payment_sum
1,1,0,17000,16000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,19500,14500
0,0,0,0,0
0,0,0,0,0
1,0,0,15000,0
1,1,0,12000,18500
1,1,1,16000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,14000,0
1,1,0,15000,16500
0,0,0,0,0
1,0,0,17000,0
0,0,0,0,0
1,1,0,14000,17500
0,0,0,0,0
0,0,0,0,0
1,1,0,14500,19000
0,0,0,0,0
1,1,1,15000,3500
1,1,0,14000,18000
0,0,0,0,0
1,1,0,11500,16500
1,1,0,14000,19500
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,15500
0,0,0,0,0
1,1,0,16000,17500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,10500,17000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,13000,18000
0,0,0,0,0
1,1,1,14500,0
0,0,0,0,0
1,1,0,14500,19500
0,0,0,0,0
1,1,0,17500,17500
0,0,0,0,0
1,1,0,14500,16000
1,1,0,13500,15000
1,1,1,14500,0
0,0,0,0,0
1,1,0,14500,17000
1,1,1,15000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,14000,4000
0,0,0,0,0
1,1,0,15500,14000
0,0,0,0,0
0,0,0,0,0
1,1,0,11500,16500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,15500,0
1,1,0,16000,17000
0,0,0,0,0
1,1,0,13500,19000
0,0,0,0,0
1,1,0,13000,16000
0,0,0,0,0
1,1,0,15000,18000
1,0,0,20000,0
1,1,0,14000,19000
1,0,0,14000,0
0,0,0,0,0
1,1,0,12000,17500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,15500,0
1,1,0,17000,16000
1,1,0,15000,17000
0,0,0,0,0
1,1,1,15000,2500
1,1,0,14500,20000
1,0,0,15000,0
0,0,0,0,0
1,1,0,12000,15500
0,0,0,0,0
0,0,0,0,0
1,1,0,15000,13500
1,1,0,13000,19000
1,1,0,18500,19500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,17000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,17000,0
1,1,0,14000,16500
1,1,0,15000,19500
0,0,0,0,0
1,1,0,15500,17000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,14500,17000
0,0,0,0,0
1,0,0,11500,0
1,1,0,15500,15500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,16500
1,1,0,14500,15500
1,1,0,15500,19500
1,1,0,11500,19000
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,15500
1,0,0,15000,0
1,1,0,12500,14000
0,0,0,0,0
1,1,1,13000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,14500,3000
0,0,0,0,0
1,0,0,14500,0
0,0,0,0,0
1,0,0,17500,0
1,1,0,15000,20000
1,1,0,17000,12000
0,0,0,0,0
0,0,0,0,0
1,0,0,15000,0
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,17000
1,1,0,16000,22500
0,0,0,0,0
0,0,0,0,0
1,1,0,8500,18000
0,0,0,0,0
1,1,0,18000,17000
0,0,0,0,0
1,1,0,15000,15500
1,0,0,15000,0
1,0,0,18500,0
0,0,0,0,0
1,1,0,18000,19500
1,1,0,16500,17000
1,0,0,15000,0
0,0,0,0,0
1,1,0,16000,15500
1,0,0,15500,0
0,0,0,0,0
1,1,0,13000,17000
0,0,0,0,0
1,0,0,15000,0
1,1,0,13500,20500
1,1,0,18500,15000
1,1,0,14000,16500
0,0,0,0,0
1,1,0,17000,17500
1,1,0,15500,15500
0,0,0,0,0
1,1,0,14500,19500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,14500,16000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,19500,0
0,0,0,0,0
1,0,0,16000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,14500,16000
1,1,0,13500,16000
1,1,0,14500,18000
0,0,0,0,0
0,0,0,0,0
1,1,0,16000,17000
0,0,0,0,0
1,1,0,15000,14000
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,12000,12500
1,1,1,19500,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,15000,15500
0,0,0,0,0
0,0,0,0,0
1,1,0,16500,18000
1,1,0,14000,20000
1,1,0,15000,19500
1,1,0,14000,18000
1,1,0,10000,20000
1,0,0,13500,0
1,1,0,12500,16500
0,0,0,0,0
0,0,0,0,0
1,1,0,14500,21500
0,0,0,0,0
1,1,0,12000,17000
1,1,0,15500,16000
0,0,0,0,0
1,1,0,15500,18500
1,1,0,13500,16500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,13500,17000
0,0,0,0,0
0,0,0,0,0
1,1,0,17500,18500
1,1,0,13000,18500
1,1,0,14500,18000
0,0,0,0,0
1,1,0,15500,18000
1,0,0,12000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,15500,17500
1,1,0,14500,20500
1,1,0,18000,17000
1,1,0,17500,21000
